﻿DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_Month,INCIDENT_DAY,REPORT_DATE_FLAG,INCIDENT_HOUR,DATA_HOME,ORIG_FORMAT,DID
2019,1904,107981072,8142360,N,43556,1/4/2019,January,4,,7,C,F,40881120
2019,1904,107981213,8142360,N,43556,1/26/2019,January,26,,17,C,F,40869752
2019,1904,112221533,8150022,N,43635,2/6/2019,February,6,,21,C,F,48467365
2019,1904,120325312,8218980,N,43872,11/7/2019,November,7,,22,C,F,65180021
2019,1904,107968287,8142360,N,43556,1/29/2019,January,29,,0,C,F,40881194
2019,1904,107981161,8142360,N,43556,1/17/2019,January,17,,8,C,F,40877451
2019,1904,107981110,8142360,N,43556,1/9/2019,January,9,,19,C,F,40877401
2019,1904,107981123,8142360,N,43556,1/10/2019,January,10,,15,C,F,40877411
2019,1842,120341803,8226601,N,43872,12/6/2019,December,6,,0,C,F,65205086
2019,1842,120346112,8226601,N,43872,12/19/2019,December,19,,0,C,F,65205190
2019,1992,117663967,8203732,N,43784,9/27/2019,September,27,R,0,C,F,59964242
2019,1992,116817844,8157760,N,43754,3/5/2019,March,5,R,0,C,F,57995317
2019,1992,116808491,8142436,N,43754,1/9/2019,January,9,R,0,C,F,58003765
2019,1992,116817833,8173084,N,43754,5/10/2019,May,10,,10,C,F,57995290
2019,1992,117669102,8196070,N,43784,8/6/2019,August,6,R,0,C,F,59959191
2019,1992,117673567,8203732,N,43784,9/16/2019,September,16,,6,C,F,59954749
2019,1992,120347760,8211394,N,43872,10/23/2019,October,23,,6,C,F,65209870
2019,1992,120339881,8226718,N,43872,12/26/2019,December,26,R,0,C,F,65209895
2019,1992,116817827,8165422,N,43754,4/21/2019,April,21,R,0,C,F,57998437
2019,1992,117663943,8211394,N,43784,10/8/2019,October,8,R,0,C,F,59954739
2019,1992,117663941,8173084,N,43784,5/25/2019,May,25,R,0,C,F,59964213
2019,1992,120343162,8226718,N,43872,12/5/2019,December,5,R,0,C,F,65217292
2019,1992,120343190,8226718,N,43872,12/23/2019,December,23,R,0,C,F,65214817
2019,2024,107955097,8142460,N,43556,1/27/2019,January,27,R,0,C,F,40844043
2019,2009,122849071,8165436,N,43921,4/2/2019,April,2,,12,C,F,70395160
2019,1904,112261125,8165346,N,43635,4/10/2019,April,10,,17,C,F,48529943
2019,1904,120324721,8211318,N,43872,10/1/2019,October,1,,10,C,F,65182506
2019,1904,112258495,8165346,N,43635,4/17/2019,April,17,,7,C,F,48532233
2019,1904,112258619,8173008,N,43635,5/7/2019,May,7,,22,C,F,48532365
2019,1904,112261268,8173008,N,43635,5/3/2019,May,3,,17,C,F,48532371
2019,1904,112258629,8173008,N,43635,5/6/2019,May,6,,16,C,F,48530082
2019,1904,112261286,8173008,N,43635,5/14/2019,May,14,,3,C,F,48532388
2019,1904,120332275,8218980,N,43872,11/21/2019,November,21,,15,C,F,65176617
2019,1904,112258428,8157684,N,43635,3/19/2019,March,19,,10,C,F,48529918
2019,1904,120324919,8188332,N,43872,7/4/2019,July,4,,9,C,F,65174188
2019,1904,112261139,8165346,N,43635,4/12/2019,April,12,,19,C,F,48529955
2019,1961,114124368,8188382,N,43712,7/13/2019,July,13,,22,C,F,51790040
2019,1961,114116051,8188382,N,43712,7/28/2019,July,28,,0,C,F,51790186
2019,1961,107963190,8142410,N,43556,1/5/2019,January,5,,15,C,F,40846953
2019,1961,107998960,8142410,N,43556,1/30/2019,January,30,,10,C,F,40909315
2019,1961,112731081,8180720,N,43662,6/19/2019,June,19,,15,C,F,49326924
